Title,Transcription
An Drochshaol · Fearainn an Choirce · The Schools' Collection | dúchas.ie,"Tá níos mó daoine i-n- Gort na gCapall anois ná mar a bhí i-n-diadh aimsire na gorta san mbliadhain 1847. Fuair go leór aca bás ag an am sin le h-ocras. Tháinig an dubh ar na fataibh san talamh.Bhí bean as Gaillimh darbh ainm Mrs Seary agus bhí comhluadar aice. Bhí a fear básuighthe. Bhí ingean léi i America agus bhíodh sí ag cur airgid ag a máthair. Bhíodh an mháthair ag tabhairt gach a raibh aice uaithe. Ar deire ní raibh aici acht aon mhac amháin agus taréis tamaill cailleadh é sin freisin. Aon Domhnach amháin chuaidh sí ag an Aifrionn, agus is ar éigin a tháinig sí abhaile, agus cailleadh í féin leis an ocras tamall i-n-a dhiaidh sin."
An Drochshaol · Fearainn an Choirce · Bailiúchán na Scol | dúchas.ie,"An droch-shaoghalLuigh an droch-shaoghal go mór ar an gceanntar seo, mar ba iad na fataí an phríomh-bheatha a bhí ag na daoiníbh agus lobhadar sin, agus b'éigin dóibh maireachtáil ar bhiadh cladaigh. Fuair cuid mhór daoine bás leis an ocras, agus leis an bhfiabhras dubh, agus dá bhrigh sin bhí i bhfad níos mó daoine san áit seo fadó ná mar tá anois. In áiteachaibh chuir an fear a bhean agus a sheachtar cloinne leis an bhfiabhras dub.Lobh na fataí nuair a bhíodar ag fás, agus spréitheadh cuid desna garrdhantaibh trí h-uaire ag soláthar fataí. Is minic a lobh na fataí ó shoin acht níor lobh an oiread agus a lobh an bhliadhain sin, agus dá bhrígh sin ní raibh biadh chomh gann ariamh ó shoin."
An Drochshaol · Fearainn an Choirce · The Schools' Collection | dúchas.ie,"Nuair a bhí an droch-shaoghal ann fadó do loic na fataí, beagnach ins gach chuile áit. Tá sé sin tuairim is dhá chéad bliadhan ó shoin. Cuireadh na fataí agus tháinig na barranaí aníos. Tháinig an Dubhachán ortha, agus maidin amháin nuair a d'éirigh na daoine d'airugheadar an boladh a bhí ó na barrainaíbh. Tharla sé sin tuairim lá'l t-Sin Seain. tháinig an bhliadhain sin go dona. Thánig an gorta agus tinneas ar na daoiníbh. Cailleadh an cuid is de na daoiníbh, acht mhair corr-dhuine, agus séard a sheas dóibh sin biadh an chladaigh. Bhídís ag ithe báirneacha, sleabhcháin creathnaigh, faochan agus carraigín. Bhruichidís na báirnigh, agus chuiridís min bhuidhe ar an rúgh. An bhliadhain ina dhiadh sin chuireadar fataí darbh ainm ""Regions"" Fuair siad ó'n tighearna talamhna darbh ainm ""Major Fair"" d'fhás siad maith go leor. Ní raibh siad i bhfad ag médughadh san ithir, agus faoi cheann cúpla bliadhan bhí a ndóthain fataí agus bidh acu. Ní raibh aon ghorta ariamh a bhí chomh dona leis."
An Ghorta Mhór · Carnán · The Schools' Collection | dúchas.ie,"An Ghorta Mhór.San am fadó gheibheadh na daoine bás ar thaobh an bhóthair am na gorta móire nuair a dhubhadh na fataí. Tá áit inaice le mo theac ar a dtugtar Sean-Bhaile Beag air. Bhí go leor tighthe ann san t-sean aimsir ach caileadh go leor de na daoine bliadain na gorta le ocras agus an méid díobh a fhan beo sgapadar mar ní raibh siad in ann na h-áitreacha  a choingeál ná cíos , ná rátaí a íoc.D'éirigh an rud céadna i ngleann eile in áit a dtugann siad Gleann na hÓige air inaice le baile na Gráinse. D'imthig na daoine as an áit sin freisean agus níl turaisc cé ndeachadar cé go bhfuil ballaí arda na dtigte ag seasamh fós."
Stoirm · Béal an Átha Buí (Clochar) · The Schools' Collection | dúchas.ie,"Bhí bad caillte san gceanntar seo fadó, timcheall lé ceathrú míle ó mo theach.  Bhí an bád ag teacht isteach san gcuan.  Bhí an oidhche ann nuair bhí sé ag teacht.  Chuaidh sí ar charraig.  Thuit na daoine amach san bhfáirge.  Báthadh ceathrar aca triúr fear agus bean.  'Siad Tomás Ó Conroigh, Sean Ó Búrca, Seán mac Mathghamhna, agus bean Bheal Ó Braonán.  Shabháil triúr aca.  Is iad Seán Ó Raghaille agus a mháthair agus Seán Ó Conroigh.  Cuireadh comhartha ar an gcarraig 'nár báthadh na daoine.M'uncail a d'innis an sgéal seo dom."
Stoirm · Béal an Átha Buí (Clochar) · The Schools' Collection | dúchas.ie,"Cruadhtán      30/11/1937Bhí bád caillte san gceanntar seo fadó, timcheall lé ceathrú míle ó mo theach. Bhí an bád ag teacht san gcuan. Bhí an oidhce an nuair bhí sí ag teacht. Chuaidh sí ar charraigh. Thuit na daoine amach san bhfáirge. Báthadh ceathrar aca – triúr fear agus bean. ’Siad Tomas Ó Conroigh, Seán Ó Búrca, Seán Mach Mathghamhna agus bean Bheal Ó Braonáin. Shábháil triúr aca. ‘Siad Seán Ó Raghaille a mháthair agus Seán Ó Conroigh. Cuireadh comhartha ar an gcarraigh ‘nár báthadh na daoine.Micheál Ó’ Conroigh, Cuan na mbád, An Clochán. M’áthair a d’innis an sgéal seo dom."
An Drochshaol sa Cheantar · Doire Mór Iata · The Schools' Collection | dúchas.ie,Tá sé timceall cead bliadhain agus bhí an gorta mór í nÉireannNí raibh tada le níthe ag na daoine agus bhí siad ag fágháilbháis leis an ocras agus an tart. Bhí siad ag marbú coíniníagus bhí an oiread sin ocras ortha is nach raibh ám acú íada bruith d’iosfhadh síad fuar iad. Ní mórán bíd bíodh acú achtfataí  a chuirfidis agus oidhce amháin tháinig stoirm mór agusscuabadh iad ar fud na cnuic agus tháinig an duibheachán orthafreisin. Bhí beirt dearbhráthár ann san uair sin agus tá fhios gurcailleadh duine acú agus gur iomchar an dearbhráthár eilego dtí an uaigh é. Ní raibh aon conra ann an uair sin agusfuair síad cúpla malaí agus chuir siad ualach sgrathacha ionntachuir an duine caillte istigh idir an málaí agus rinne andearbhráthár eile a uaigh féin mar bhí sé cinnte go mbéadh séféin caillte í gceann seachtmhaine leis an ocras. Bíodh na daoineag ithe fear agus coirce. An sórt solas a bíodh acú ruinne duisidhemar ní raibh aon coinneál le fagháil no cabhair uairbionn fiodog agus rúinne súithche cuimilte dhe. Bíodh leacaibhmóra mar siodheachán acú agus codlaidis ar clocha nó argabail féir. Mhillfaidís coirce idir dhá leach agus déanfhidíscáca den coirce. Ní raibh aon moín le teine a dhéanamh.bíodh síad ag tirmughadh puiteach agus sgratacha beaga cun teinea deanamh bídís ag ithe leathar agus craicne beithidhigh. Bhíodh nadaoine ann bocht ar fad bíodh síad ag fághail brúran minebuidhe mar ní raibh aon plúr lé fághul bhídís ag leanamhuintcoiníní agus giarrfiadh agus dhá gcur isteach í scailp
Droichead Inis Ní · Inis Niadh · The Schools' Collection | dúchas.ie,"Rinneadh an droichéad sa mbliadhan 1884.Roimhe sin ní raibh aon bealach lé dul amachacht i mbád.Bhí m'athair ag obair ar an droichead. Lá amháinbhí lán báid do dhaoine ag dul trasna. Bhíbeirt fear ar an dtalamh agus thosuigh siad agcaitheadh clocaí. D'iompuigh an bád agus báthadhgach duine acu acht beirt nó triúir.Níor báthadh m'athair sábháil fear eile é. Agus ó shoini leith deirtear go bhfuil sidheóga ins an droicead.Bhí m'athair ag obair i gCloch na Rón uair amháinmaidin amháin agus é ag dul amach agusbhí fear mór ar an mbóthar agus an céadmaidin eile bhí sé ann arís, agus an tríomhadhmaidin bhí fear eile leis agus ní fhacha sé tada."
An Drochshaol · Cashel · The Schools' Collection | dúchas.ie,Luigh an droc-shaoghal go trom annseo ó 1845 go 1848. Cáilleadh níos mó ná leath na daoine timcheall an cheanntair seo an t-am sin. Le faobhras a chailleadh an cuid is mó aca ó na luibhe-nimhe a dítheadar. Tá áiteacha ann a bhfuil fothracha na sean-dteach in a mbíodh daoine in a gcomnuidhe sul a dtáinic an droch-shaoghal agus nár mhaireadar tríd. Ní raibh móran de na daoinibh óga ag dul lear an t-am sin. Ní raibh ag na daoinibh ach gabhaltais beaga talmhan. Ar fátaibh bhí na daoine ag máireachtáil an t-am sin agus nuair a dtáinic an dubachán orthabhíodar réidh. Ní raibh tada le faghail san siopaíbh ach min-buidhe agus ní gheibhidís é sin fhéin gan airgead. Aon duine a mbeadh fataí nó cabáiste nó turnapaí ag fás aige bheadh sé ag faire ortha sna oidhche ármtha le clocaibh agus máidí mar bíodh na daoine nach raibh tada aca 'ghá ngoid. Bhíodh beirt nó trúir caillte chuile lá beagnach. Baineadh na daoine poll annsin agus iad a chaitheamh síos ann gan conrá ar bith. Lá amháin bhí deichneabhar le chur sa
An Drochshaol · Ballinafad · Bailiúchán na Scol | dúchas.ie,Transcribed by a member of our volunteer transcription project.HistoryEdit
